SW_Angle_deg,Wheel_Angle_deg,Rack_Disp_in,KP_Patch_in,TieRod_Arm_Eff_in,T_Trail_Nm,T_Scrub_Nm,T_Caster_Nm,T_KPI_Nm,T_Align_Nm,T_Geom_Nm,T_Pinion_Nm,T_ColFriction_Nm,T_Total_Nm,F_Rack_N
0.0,0.0,0.0,1.635,3.288,49.724698499999995,0.0,0.0,0.0,49.724698499999995,0.0,11.377566501783694,2.99997772,14.377544221783694,595.6580432980213
0.18018018018018017,0.041209095856880755,0.002364842518017542,1.6353873655010547,3.287999149561913,49.72468563875381,0.03377683800592816,0.00019922232502990342,0.0032974405508381256,49.75846247675974,0.003496662875868029,11.386095097381418,2.99997772,14.386072817381416,596.1045470881793
0.36036036036036034,0.08241821303116896,0.004729685036035084,1.635774731202493,3.287996598246333,49.7246470549953,0.06755367601185631,0.00039844465005980684,0.006594881101676251,49.792200731007156,0.006993325751736058,11.394623706214645,2.99997772,14.394601426214646,596.5510515712652
0.5405405405405406,0.1236273728403714,0.0070945275540526265,1.6361620973046995,3.2879923460493004,49.72458274866458,0.10133051401778449,0.0005976669750897105,0.00989232165251438,49.82591326268236,0.010489988627604089,11.403152341518968,2.99997772,14.40313006151897,596.9975574402117
0.7207207207207207,0.16483659660219313,0.009459370072070167,1.6365494640080607,3.2879863929642164,49.72449271966186,0.13510735202371263,0.0007968893001196137,0.013189762203352502,49.85960007168557,0.013986651503472116,11.411681016530205,2.99997772,14.411658736530205,597.4440653879632
0.9009009009009008,0.20604590563463723,0.011824212590087708,1.6369368315129655,3.287978738981842,49.72437696784741,0.16888419002964078,0.000996111625149517,0.01648720275419063,49.89326115787705,0.017483314379340146,11.420209744484467,2.99997772,14.420187464484467,597.8905761074795
1.0810810810810811,0.24725532125610375,0.014189055108105253,1.6373242000198074,3.2879693840902986,49.724235493041604,0.20266102803556899,0.001195333950179421,0.01978464330502876,49.926896521077175,0.020979977255208178,11.42873853861828,2.99997772,14.42871625861828,598.3370902917422
1.2612612612612613,0.2884648647854886,0.016553897626122794,1.6377115697289837,3.287958328275068,49.72406829502488,0.23643786604149714,0.0013945562752093242,0.02308208385586688,49.96050616106638,0.024476640131076206,11.437267412168689,2.99997772,14.437245132168687,598.78360863376
1.4414414414414414,0.32967455754228386,0.018918740144140335,1.6380989408408975,3.287945571518993,49.723875373537744,0.27021470404742526,0.0015937786002392274,0.026379524406705004,49.99409007758517,0.02797330300694423,11.445796378373338,2.99997772,14.445774098373336,599.2301318265728
1.6216216216216215,0.3708844208466759,0.021283582662157876,1.6384863135559589,3.287931113802274,49.7236567282808,0.30399154205335344,0.0017930009252691312,0.029676964957543128,50.027648270334154,0.031469965882812256,11.45432545047062,2.99997772,14.454303170470618,599.6766605632598
1.8018018018018016,0.41209447601964533,0.023648425180175417,1.6388736880745847,3.287914955102473,49.723412358914686,0.33776838005928156,0.001992223250299034,0.03297440550838126,50.061180738973974,0.03496662875868029,11.462854641699716,2.99997772,14.462832361699718,600.1231955369418
1.981981981981982,0.4533047443830664,0.02601326769819296,1.6392610645972008,3.2878970953945106,49.723142265060154,0.3715452180652098,0.002191445575328938,0.03627184605921939,50.09468748312536,0.03846329163454833,11.47138396530076,2.99997772,14.47136168530076,600.5697374407889
2.1621621621621623,0.4945152472598057,0.028378110216210506,1.6396484433242422,3.287877534650668,49.722846446297986,0.40532205607113797,0.002390667900358842,0.03956928661005752,50.12816850236912,0.041959954510416356,11.479913434514895,2.99997772,14.479891154514894,601.0162869680245
2.3423423423423424,0.5357260059738217,0.030742952734228047,1.640035824456154,3.2878562728405845,49.722524902169035,0.43909889407706615,0.002589890225388745,0.04286672716089564,50.161623796246104,0.045456617386284384,11.488443062584398,2.99997772,14.488420782584399,601.4628448119311
2.5225225225225225,0.5769370418502647,0.03310779525224559,1.6404232081933925,3.2878333099312584,49.72217763217423,0.47287573208299427,0.0027891125504186484,0.04616416771173376,50.19505336425723,0.04895328026215241,11.49697286275279,2.99997772,14.496950582752792,601.9094116658564
